gene1,gene2
CD74,RPS12
CD74,RPL19
CD74,RPS16
CD74,WDR31
CD74,RPL5
CD74,RPL34
CD74,RPS18
CD74,POLR2F
CD74,CXCR2
CD74,MRRF
CD74,RPL12
CD74,CTSB
CD74,SNU13
CD74,RPLP2
CD74,RPS15A
CD74,IFI35
CD74,MRPS5
CD74,RPS9
CD74,ATP5F1A
CD74,ARL6IP1
CD74,RPL38
CD74,RPL39
CD74,RPL13A
CD74,RPL10L
CD74,RPL17-C18orf32
CD74,APP
CD74,RPS23
CD74,RSRC1
CD74,MRPL20
CD74,HLA-DMB
CD74,NPSR1
CD74,FAU
CD74,PDCD11
CD74,RPL22
CD74,RPL29
CD74,RPL27
CD74,TPT1
CD74,RPLP0
CD74,RPL32
CD74,EIF1AY
CD74,RPS27A
CD74,HLA-DOB
CD74,RPS3A
CD74,HLA-DRB5
CD74,CTSL
CD74,RPS13
CD74,RPS3
CD74,RPL3L
CD74,HLA-DPA1
CD74,RPS4Y1
CD74,MRNIP
CD74,RPS11
CD74,RPL28
CD74,RPS27
CD74,DOCK4
CD74,EIF5B
CD74,MRPL9
CD74,RPL3
CD74,RPL31
CD74,FLT3LG
CD74,RPL37
CD74,MRPL27
CD74,RPL35A
CD74,MRPS10
CD74,MRPL19
CD74,RPS26
CD74,RPL18A
CD74,EIF1AX
CD74,EEF2
CD74,HLA-DRA
CD74,RPL21
CD74,RPL39L
CD74,RPL14
CD74,EIF2S1
CD74,SEC61A2
CD74,DDT
CD74,FANCE
CD74,RPS29
CPA1,CPA2
CPA1,CTRC
CPA1,CELA2A
CPA1,PNLIP
CPA1,PRSS1
CPA1,CTRB1
CPA1,CTRB2
CPA1,CPB1
CPA1,CPA3
CPA1,CELA3A
CPA1,CELA3B
CPA1,CTRL
RANBP9,WDR26
RANBP9,DDX4
RANBP9,GID4
RANBP9,MPHOSPH8
RANBP9,GID8
RANBP9,YPEL5
RANBP9,AXL
RANBP9,MAEA
RANBP9,RANBP10
RANBP9,RMND5A
RANBP9,ARMC8
RANBP9,MKLN1
RANBP9,L1CAM
CD4,HLA-DMB
CD4,IL5
CD4,PDCD1LG2
CD4,SKP1
CD4,LCP2
CD4,ENPEP
CD4,HLA-DRB5
CD4,CD2
CD4,TFRC
CD4,HLA-DOB
CD4,PRF1
CD4,TLR9
CD4,CD276
CD4,PIP
CD4,HLA-DPA1
CD4,CD19
CD4,CCR5
CD4,IL10
CD4,CXCL8
CD4,CD274
CD4,CD34
CD4,CD33
CD4,IFNG
CD4,CSF2
CD4,CCR7
CD4,CCL19
CD4,CCL21
CD4,TNFRSF18
CD4,IGLL5
CD4,CD80
CD4,CD8A
CD4,ERVW-1
CD4,GOLPH3
CD4,FYN
CD4,CD1C
CD4,ITK
CD4,CD247
CD4,CD38
CD4,CD3G
CD4,CD40
CD4,FBXW11
CD4,HLA-A
CD4,GZMB
CD4,ITIH4
CD4,HLA-DRA
CD4,CCRL2
CD4,ITGAL
CD4,TNFRSF4
CD4,FASLG
CD4,STAT6
CD4,IL22
CD4,IL2RA
CD4,CD28
CD4,IL7R
CD4,HLA-C
CD4,HLA-B
CD4,CD1D
CD4,IFNA1
CD4,IL2RG
CD4,BTRC
CD4,CD82
CD4,TLR4
CD4,FCGR1A
CD4,LAG3
CD4,CD8B2
CD4,AOC3
CD4,PTPRC
CD4,NCAM1
CD4,ICOS
CD4,RAG1
CD4,ITGAX
CD4,HLA-DQA2
CD4,CD44
CD4,CD40LG
CD4,CXCR4
CD4,TNF
CD4,IL1B
CD4,CD7
CD4,PDCD1
CD4,IL3RA
CD4,CD3E
CD4,IL7
CD4,CD86
CD4,STAT1
CD4,SYK
CD4,CTLA4
CD4,CD69
CD4,IL1A
CD4,CD3D
CD4,CD68
CD4,NFKB1
CD4,HLA-DPB1
CD4,IL2
CD4,CXCR3
CD4,CD81
CD4,ICAM1
CD4,RBX1
CD4,IL17F
CD4,IDO1
CD4,SELL
CD4,HLA-DOA
CD4,IL13
CD4,HLA-DQB1
CD4,TRAT1
CD4,CD8B
CD4,IL2RB
CD4,FOXP3
CD4,CCL3
CD4,GATA3
CD4,ITGAM
CD4,TBX21
CD4,PLAT
CD4,IL15
CD4,FN1
CD4,CD1B
CD4,CCL4
CD4,CD5
CD4,CXCR5
CD4,CUL1
CD4,TGFB1
CD4,CCR6
CD4,PTK2
CD4,ZAP70
CD4,IL6
CD4,IL4
CD4,HLA-DMA
CD4,IL16
CD4,HLA-DRB1
CD4,HLA-DQA1
CD4,IL17A
CD4,CD27
CD4,STAT3
PPP5C,MAP3K5
PPP5C,CCT8
PPP5C,STIP1
PPP5C,PSMG1
PPP5C,CCT2
PPP5C,CCT4
PPP5C,CCT7
PPP5C,PTGES3
PPP5C,BRAF
PPP5C,TCP1
PPP5C,CCT3
